CompanyID,Company_Name,Company_Type,Address,Address2,City,State,Postal_Code,Country,URL,Phone,TollFree_Phone,Company Created Date,Company Modify Date,Portal Update Date
616641,1888 Mills,Manufacturer,1520 Kensington Road,Ste. 115,Chicago,IL,60523,United States,www.1888mills.com,6309257957,,6/6/2011,3/18/2015,7/11/2016
599417,1st Impressions Designs,Manufacturer/Distributor,705 E. Main Ave.,Ste. 3,West Fargo,ND,58078,United States,www.designsforsewing.com,7012930077,,1/14/2010,7/2/2018,7/2/2018
599418,1st St. Graphics Inc.,Manufacturer/Distributor,1205 South 11th St.,,St. Joseph,MO,64503-2667,United States,www.1stSt.com,8005305909,,1/14/2010,7/17/2018,7/17/2018
599419,2 Dazzle U Custom Rhinestone Designs,Manufacturer/Distributor,36119 FM 149,,Pinehurst,TX,77362,United States,www.customrhinestoneshirt.com,2812596818,,1/14/2010,2/4/2019,6/24/2019
777150,212 Performance Gloves,Manufacturer,6445 Montessouri St.,,Las Vegas,NV,89113,United States,212gloves.com,6617029212,7022121300,8/15/2016,8/15/2016,8/23/2016
551062,24 Hour Digitizing,,199 North Linder Road,,Meridian,ID,83642,United States,www.24hourdigitizing.com,8558947800,2089635900,8/18/2009,1/4/2019,
773697,3A Thread & Supply,Manufacturer/Distributor,1006 S San Pedro St.,,Los Angeles,CA,90015,United States,www.us3a.com,2137490103,,6/21/2016,,6/21/2019
251521,3A Thread & Supply Co. Of America,Manufacturer/Distributor,1006 S. San Pedro St.,,Los Angeles,CA,90015-2316,United States,www.us3a.com,2137490103,,10/17/2006,1/28/2019,7/15/2019
746901,5B's Inc.,Manufacturer/Distributor,1000 5B's Drive,,ZANESVILLE,OH,43701,United States,5bs.com/,7404548453,,7/6/2015,7/5/2018,7/5/2018
62401,A-B Emblem,Manufacturer,P.O. Box 695,22 A-B Emblem Drive,Weaverville,NC,28787-0695,United States,www.abemblem.com,8286453015,8004384285,7/29/2004,1/28/2019,6/24/2015
706291,A.M.S,Manufacturer/Distributor,102 E. Pico Blvd.,,Los Angeles,CA,90015,United States,www.amsfashionhouse.com,2137887576,,8/13/2013,6/20/2018,6/21/2019
599420,A.S. Tees,Manufacturer/Distributor,209 Plumbers Road,,Columbia,SC,29203,United States,www.astees.com,8036918100,8007177751,1/14/2010,6/22/2010,6/21/2012
