CompanyID,CompanyName,CategoryName,Category,Product,Subproduct,
616641,1888 Mills,American-Made Apparel,Apparel Blanks,American-Made Apparel,,
616641,1888 Mills,Home Textiles,Blank Nonwearables & Accessories,Home Textiles,,
616641,1888 Mills,Other,"Miscellaneous Equipment, Supplies & Industry Services",Other,,
599417,1st Impressions Designs,Adhesive Backing,Embroidery Equipment & Supplies,Backing Material,Adhesive Backing,
599417,1st Impressions Designs,Applique Material & Yard Goods,Embroidery Equipment & Supplies,Applique Material & Yard Goods,,
599417,1st Impressions Designs,Embroidered Lettering,"Heat-Applied Graphics Equipment, Lettering & Transfers",Lettering,Embroidered Lettering,
599417,1st Impressions Designs,Laser Custom-Cut Lettering,"Heat-Applied Graphics Equipment, Lettering & Transfers",Lettering,Laser Custom-Cut Lettering,
599417,1st Impressions Designs,Printed Fabrics,"Heat-Applied Graphics Equipment, Lettering & Transfers",Lettering,Printed Fabrics,
599417,1st Impressions Designs,Stock Designs,Embroidery Equipment & Supplies,Stock Designs,,
599417,1st Impressions Designs,Tackle-Twill Lettering,"Heat-Applied Graphics Equipment, Lettering & Transfers",Lettering,Tackle-Twill Lettering,
599418,1st St. Graphics Inc.,Clip Art Services,"Miscellaneous Equipment, Supplies & Industry Services",Art Supplies & Services,Clip Art Services,
599418,1st St. Graphics Inc.,Clip Art Services,"Miscellaneous Equipment, Supplies & Industry Services",Art Supplies & Services,Clip Art Services,
599418,1st St. Graphics Inc.,Custom Transfer Services,"Miscellaneous Equipment, Supplies & Industry Services",Custom Transfer Services,,
599418,1st St. Graphics Inc.,Custom Transfer Services,"Miscellaneous Equipment, Supplies & Industry Services",Custom Transfer Services,,
599418,1st St. Graphics Inc.,Embroidered-Look Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Embroidered-Look Transfers,
599418,1st St. Graphics Inc.,Embroidered-Look Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Embroidered-Look Transfers,
599418,1st St. Graphics Inc.,Glitter Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Glitter Transfers,
599418,1st St. Graphics Inc.,Glitter Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Glitter Transfers,
599418,1st St. Graphics Inc.,"Hot-Split, Hot-Peel Transfers","Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,"Hot-Split, Hot-Peel Transfers",
599418,1st St. Graphics Inc.,"Hot-Split, Hot-Peel Transfers","Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,"Hot-Split, Hot-Peel Transfers",
599418,1st St. Graphics Inc.,Plastisol Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Plastisol Transfers,
599418,1st St. Graphics Inc.,Plastisol Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Plastisol Transfers,
599418,1st St. Graphics Inc.,Softhand Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Softhand Transfers,
599418,1st St. Graphics Inc.,Softhand Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Softhand Transfers,
599418,1st St. Graphics Inc.,Stretchable Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Stretchable Transfers,
599418,1st St. Graphics Inc.,Stretchable Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Stretchable Transfers,
599419,2 Dazzle U Custom Rhinestone Designs,American-Made Apparel,Apparel Blanks,American-Made Apparel,,
599419,2 Dazzle U Custom Rhinestone Designs,Cap-Size Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Cap-Size Transfers,
599419,2 Dazzle U Custom Rhinestone Designs,Cap-Sleeve T-Shirts,Apparel Blanks,T-Shirts,Cap-Sleeve T-Shirts,
599419,2 Dazzle U Custom Rhinestone Designs,Cold-Peel Transfers,"Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,Cold-Peel Transfers,
599419,2 Dazzle U Custom Rhinestone Designs,Color-Block T-Shirts,Apparel Blanks,T-Shirts,Color-Block T-Shirts,
599419,2 Dazzle U Custom Rhinestone Designs,Color-Change T-Shirts,Apparel Blanks,T-Shirts,Color-Change T-Shirts,
599419,2 Dazzle U Custom Rhinestone Designs,Crop Tops,Apparel Blanks,T-Shirts,Crop Tops,
599419,2 Dazzle U Custom Rhinestone Designs,"Emblems, Patches (Heat-Applied)","Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,"Emblems, Patches (Heat-Applied)",
599419,2 Dazzle U Custom Rhinestone Designs,Hooded T-Shirts,Apparel Blanks,T-Shirts,Hooded T-Shirts,
599419,2 Dazzle U Custom Rhinestone Designs,"Hot-Split, Hot-Peel Transfers","Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,"Hot-Split, Hot-Peel Transfers",
599419,2 Dazzle U Custom Rhinestone Designs,Imported T-Shirts,Apparel Blanks,T-Shirts,Imported T-Shirts,
599419,2 Dazzle U Custom Rhinestone Designs,Long-Sleeve T-Shirts (with pockets),Apparel Blanks,T-Shirts,Long-Sleeve T-Shirts (with pockets),
599419,2 Dazzle U Custom Rhinestone Designs,Long-Sleeve T-Shirts (without pockets),Apparel Blanks,T-Shirts,Long-Sleeve T-Shirts (without pockets),
599419,2 Dazzle U Custom Rhinestone Designs,"Muscle, Sleeveless T-Shirts",Apparel Blanks,T-Shirts,"Muscle, Sleeveless T-Shirts",
599419,2 Dazzle U Custom Rhinestone Designs,Neon T-Shirts,Apparel Blanks,T-Shirts,Neon T-Shirts,
599419,2 Dazzle U Custom Rhinestone Designs,Nightshirts,Apparel Blanks,T-Shirts,Nightshirts,
599419,2 Dazzle U Custom Rhinestone Designs,Organic Cotton T-Shirts,Apparel Blanks,T-Shirts,Organic Cotton T-Shirts,
599419,2 Dazzle U Custom Rhinestone Designs,Pocket T-Shirts,Apparel Blanks,T-Shirts,Pocket T-Shirts,
599419,2 Dazzle U Custom Rhinestone Designs,Rhinestone Setting Machines,"Miscellaneous Equipment, Supplies & Industry Services",Rhinestone Setting Machines,,
599419,2 Dazzle U Custom Rhinestone Designs,Ringer T-Shirts,Apparel Blanks,T-Shirts,Ringer T-Shirts,
599419,2 Dazzle U Custom Rhinestone Designs,Rolled-Sleeve T-Shirts,Apparel Blanks,T-Shirts,Rolled-Sleeve T-Shirts,
599419,2 Dazzle U Custom Rhinestone Designs,Shimmels,Apparel Blanks,T-Shirts,Shimmels,
599419,2 Dazzle U Custom Rhinestone Designs,"Small, Pocket-Size Transfers","Heat-Applied Graphics Equipment, Lettering & Transfers",Transfers,"Small, Pocket-Size Transfers",
599419,2 Dazzle U Custom Rhinestone Designs,Spangle Machines,"Miscellaneous Equipment, Supplies & Industry Services",Spangle Machines,,
599419,2 Dazzle U Custom Rhinestone Designs,T-Back Tank Tops,Apparel Blanks,T-Shirts,T-Back Tank Tops,
599419,2 Dazzle U Custom Rhinestone Designs,T-Shirt Dresses,Apparel Blanks,T-Shirts,T-Shirt Dresses,
599419,2 Dazzle U Custom Rhinestone Designs,T-Shirts 100% Cotton,Apparel Blanks,T-Shirts,T-Shirts 100, Cotton
599419,2 Dazzle U Custom Rhinestone Designs,T-Shirts 50/50 Blend,Apparel Blanks,T-Shirts,T-Shirts 50/50 Blend,
599419,2 Dazzle U Custom Rhinestone Designs,T-Shirts 65/35 Blend,Apparel Blanks,T-Shirts,T-Shirts 65/35 Blend,
599419,2 Dazzle U Custom Rhinestone Designs,"T-Shirts, Other Fabrics/Blends",Apparel Blanks,T-Shirts,"T-Shirts, Other Fabrics/Blends",
