CompanyID,CompanyName,CompanyType,Address,Address2,City,State,Country,Postal_Code,URL,Phone,TollFree_Phone
FC4JC6,Motorola Solutions,Manufacturer,613 S. Heather St.,Ste. 115,Park Layne,OH,United States,60523,http://example.com/arch,6309257957,
FMAA1S,Vistra Energy,Manufacturer/Distributor,131 Westminster Ave.,Ste. 3,Monsey,NY,United States,58078,http://www.example.com/bells/art.php?badge=book,7012930077,
BQZ9W8,NGL Energy Partners,Manufacturer/Distributor,736 Lafayette Street,,Delphos,OH,United States,64503-2667,https://www.example.com/,8005305909,
Y1JB95,Nike,Manufacturer/Distributor,264 East High Ridge St.,,New Lexington,OH,United States,77362,https://www.example.com/bomb.htm#boundary,2812596818,
HFVARV,Kohl's,,324 W. Peninsula Drive,,Brenham,TX,United States,83642,http://example.net/,8558947800,2089635900
T13DST,AES,,9825 Jockey Hollow Drive,,Claryville,KY,United States,28054 - 7302,http://www.example.com/beef,7048421946,
063NYB,Western & Southern Financial Group,,549 North Glenlake Avenue,,Ipswich,SD,United States,30214,http://box.example.com/,7704617656,
P2YRDJ,Citigroup,Manufacturer,48 College Street,,Wildomar,CA,United States,43026,https://example.org/,8887771916,
KIMC7C,Fiserv,Distributor,910 Old Inverness Road,,Saugerties,NY,United States,3249,https://www.example.org/bone/argument.html,8002253001,8002253001
X65GJL,EOG Resources,Manufacturer,80 Southampton Circle,Ste. 1,Dawson Springs,KY,United States,44090,http://www.example.com/bubble,4406473400,8008699601
FW72RE,Chesapeake Energy,Manufacturer,90 Lantern Street,Unit 4A,Big Lake,TX,United States,97526,https://example.net/,5415823720,8004439553
GUEHRY,Valero Energy,Manufacturer,529 Valley View Rd.,"Bldg. 1, 2nd Fl.",Dickson,TN,United States,7055,https://www.example.com/,8454252245,
CMD3M2,Aflac,,53 S. Pennsylvania Drive,,Lacey,WA,United States,8753,https://example.com/border.php?birth=addition&brake=back,7325346222,
1K7JAC,Toll Brothers,"Manufacturer,Service Provider",7860 Locust Lane,,Donalsonville,GA,United States,32503,https://www.example.org/,8504698872,18004414393
UDKGTR,LKQ,Manufacturer/Distributor,9365 Tailwater Road,Ste. 12B,Hillsboro,MO,United States,15012,http://www.example.com/,8887887133,8002259634
7M3XV3,WEC Energy Group,,272 North Pineknoll St.,,Swanzey,NH,United States,90063,https://example.org/#berry,3233911105,
EP3V1I,Activision Blizzard,Manufacturer/Distributor,31 Fremont St.,,Chinchilla,PA,United States,8837,https://www.example.com/brass,7322253990,8008781235
